state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,year,month,season,state_code,district_code,market_code,commodity_code,variety_code,grade_code,price_difference
haryana,panipat,samalkha,green chilli,green chilly,faq,2025-05-19,2000,2000,2000,2025,5,zaid,2,19,26,36,29,1,0
haryana,panipat,samalkha,karbuja(musk melon),karbhuja,large,2025-05-19,1000,1000,1000,2025,5,zaid,2,19,26,37,30,4,0
haryana,panipat,samalkha,long melon(kakri),long melon (kakri),faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,19,26,38,31,1,0
haryana,panipat,samalkha,onion,local,faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,19,26,12,7,1,0
haryana,panipat,samalkha,ridgeguard(tori),other,faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,19,26,17,4,1,0
haryana,panipat,samalkha,water melon,water melon,large,2025-05-19,600,600,600,2025,5,zaid,2,19,26,39,32,4,0
haryana,rewari,kosli,banana,other,medium,2025-05-19,2000,2000,2000,2025,5,zaid,2,20,27,40,4,3,0
haryana,rewari,kosli,bhindi(ladies finger),bhindi,faq,2025-05-19,2000,2000,2000,2025,5,zaid,2,20,27,11,8,1,0
haryana,rewari,kosli,potato,other,faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,20,27,31,4,1,0
haryana,rohtak,meham,brinjal,other,faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,21,28,30,4,1,0
haryana,rohtak,meham,mango,badami,medium,2025-05-19,4000,5000,4500,2025,5,zaid,2,21,28,14,33,3,1000
haryana,rohtak,meham,mousambi(sweet lime),mousambi,medium,2025-05-19,4500,4500,4500,2025,5,zaid,2,21,28,29,34,3,0
haryana,rohtak,meham,tomato,deshi,faq,2025-05-19,600,1000,800,2025,5,zaid,2,21,28,9,35,1,400
haryana,sonipat,ganaur,green chilli,green chilly,faq,2025-05-19,2000,2500,2200,2025,5,zaid,2,22,29,36,29,1,500
haryana,sonipat,ganaur,lemon,lemon,faq,2025-05-19,9500,10000,9800,2025,5,zaid,2,22,29,25,20,1,500
haryana,sonipat,ganaur,mango (raw-ripe),mango - raw-ripe,faq,2025-05-19,1800,2000,1800,2025,5,zaid,2,22,29,41,36,1,200
haryana,sonipat,ganaur,peas wet,peas wet,faq,2025-05-19,5000,6000,5500,2025,5,zaid,2,22,29,42,37,1,1000
haryana,sonipat,ganaur,ridgeguard(tori),ridgeguard(tori),faq,2025-05-19,1200,1400,1200,2025,5,zaid,2,22,29,17,38,1,200
haryana,sonipat,ganaur,tinda,tinda,faq,2025-05-19,2400,2500,2400,2025,5,zaid,2,22,29,26,21,1,100
haryana,sonipat,ganaur,yam (ratalu),yam (ratalu),faq,2025-05-19,3000,3500,3200,2025,5,zaid,2,22,29,43,39,1,500
haryana,sonipat,gohana,onion,other,non-faq,2025-05-19,1000,1500,1200,2025,5,zaid,2,22,30,12,4,2,500
haryana,sonipat,gohana,potato,other,non-faq,2025-05-19,1000,1500,1200,2025,5,zaid,2,22,30,31,4,2,500
haryana,yamuna nagar,radaur,bottle gourd,other,faq,2025-05-19,400,500,450,2025,5,zaid,2,23,31,7,4,1,100
haryana,yamuna nagar,radaur,cucumbar(kheera),other,faq,2025-05-19,400,500,450,2025,5,zaid,2,23,31,8,4,1,100
haryana,yamuna nagar,sadhaura,capsicum,capsicum,faq,2025-05-19,1800,2000,1900,2025,5,zaid,2,23,32,44,40,1,200
himachal pradesh,chamba,chamba,bhindi(ladies finger),bhindi,faq,2025-05-19,3000,3500,3250,2025,5,zaid,3,24,33,11,8,1,500
himachal pradesh,chamba,chamba,coriander(leaves),other,faq,2025-05-19,3500,4000,3750,2025,5,zaid,3,24,33,1,4,1,500
himachal pradesh,chamba,chamba,french beans (frasbean),other,faq,2025-05-19,5000,6000,5500,2025,5,zaid,3,24,33,45,4,1,1000
himachal pradesh,chamba,chamba,green chilli,other,faq,2025-05-19,5000,5500,5250,2025,5,zaid,3,24,33,36,4,1,500
himachal pradesh,chamba,chamba,onion,other,faq,2025-05-19,1800,2000,1900,2025,5,zaid,3,24,33,12,4,1,200
himachal pradesh,hamirpur,hamirpur,brinjal,other,faq,2025-05-19,2000,2600,2400,2025,5,zaid,3,25,34,30,4,1,600
himachal pradesh,hamirpur,hamirpur,cucumbar(kheera),other,faq,2025-05-19,1600,3000,2300,2025,5,zaid,3,25,34,8,4,1,1400
himachal pradesh,hamirpur,hamirpur,onion,other,faq,2025-05-19,1600,2000,1800,2025,5,zaid,3,25,34,12,4,1,400
himachal pradesh,hamirpur,hamirpur,tomato,other,faq,2025-05-19,1500,1800,1650,2025,5,zaid,3,25,34,9,4,1,300
himachal pradesh,hamirpur,hamirpur,water melon,other,medium,2025-05-19,1400,1600,1500,2025,5,zaid,3,25,34,39,4,3,200
himachal pradesh,kangra,dharamshala,banana,other,medium,2025-05-19,4300,4400,4350,2025,5,zaid,3,26,35,40,4,3,100
himachal pradesh,kangra,dharamshala,coriander(leaves),other,faq,2025-05-19,4000,4500,4250,2025,5,zaid,3,26,35,1,4,1,500
himachal pradesh,kangra,dharamshala,cucumbar(kheera),other,faq,2025-05-19,1500,1600,1550,2025,5,zaid,3,26,35,8,4,1,100
himachal pradesh,kangra,dharamshala,onion,other,faq,2025-05-19,2000,2200,2100,2025,5,zaid,3,26,35,12,4,1,200
himachal pradesh,kangra,dharamshala,papaya,other,medium,2025-05-19,4000,4500,4250,2025,5,zaid,3,26,35,46,4,3,500
himachal pradesh,kangra,kangra,french beans (frasbean),other,faq,2025-05-19,7000,8000,7500,2025,5,zaid,3,26,36,45,4,1,1000
himachal pradesh,kangra,kangra,grapes,other,medium,2025-05-19,9000,10000,9500,2025,5,zaid,3,26,36,47,4,3,1000
himachal pradesh,kangra,kangra,mango,other,medium,2025-05-19,5000,8000,6000,2025,5,zaid,3,26,36,14,4,3,3000
himachal pradesh,kangra,kangra,papaya,other,medium,2025-05-19,3000,3500,3200,2025,5,zaid,3,26,36,46,4,3,500
himachal pradesh,kangra,kangra,plum,other,medium,2025-05-19,5000,10000,8000,2025,5,zaid,3,26,36,48,4,3,5000
himachal pradesh,kangra,kangra,spinach,other,faq,2025-05-19,2500,3000,2700,2025,5,zaid,3,26,36,34,4,1,500
himachal pradesh,kangra,kangra(baijnath),apple,apple,medium,2025-05-19,15000,16000,15500,2025,5,zaid,3,26,37,49,41,3,1000
himachal pradesh,kangra,kangra(baijnath),bhindi(ladies finger),bhindi,faq,2025-05-19,3200,3400,3200,2025,5,zaid,3,26,37,11,8,1,200
himachal pradesh,kangra,kangra(baijnath),carrot,carrot,faq,2025-05-19,2000,2200,2100,2025,5,zaid,3,26,37,22,17,1,200
himachal pradesh,kangra,kangra(baijnath),coriander(leaves),coriander,faq,2025-05-19,4500,5000,4800,2025,5,zaid,3,26,37,1,1,1,500
himachal pradesh,kangra,kangra(baijnath),cucumbar(kheera),cucumbar,faq,2025-05-19,1600,2400,2000,2025,5,zaid,3,26,37,8,42,1,800
himachal pradesh,kangra,kangra(baijnath),ginger(green),green ginger,faq,2025-05-19,6000,7000,6500,2025,5,zaid,3,26,37,27,24,1,1000
himachal pradesh,kangra,kangra(baijnath),lemon,lemon,faq,2025-05-19,9000,11000,10500,2025,5,zaid,3,26,37,25,20,1,2000
himachal pradesh,kangra,kangra(baijnath),tomato,tomato,faq,2025-05-19,1200,1500,1300,2025,5,zaid,3,26,37,9,10,1,300
himachal pradesh,kangra,kangra(jaisinghpur),banana,banana - ripe,medium,2025-05-19,4700,5000,4900,2025,5,zaid,3,26,38,40,43,3,300
himachal pradesh,kangra,kangra(jaisinghpur),bottle gourd,bottle gourd,faq,2025-05-19,2000,2200,2100,2025,5,zaid,3,26,38,7,26,1,200
himachal pradesh,kangra,kangra(jaisinghpur),capsicum,capsicum,faq,2025-05-19,3000,3500,3300,2025,5,zaid,3,26,38,44,40,1,500
himachal pradesh,kangra,kangra(jaisinghpur),garlic,average,faq,2025-05-19,9500,10000,9800,2025,5,zaid,3,26,38,50,44,1,500
himachal pradesh,kangra,kangra(jaisinghpur),grapes,annabesahai,medium,2025-05-19,10000,11500,10800,2025,5,zaid,3,26,38,47,45,3,1500
himachal pradesh,kangra,kangra(jaisinghpur),mashrooms,mashrooms,faq,2025-05-19,15000,16000,15500,2025,5,zaid,3,26,38,51,46,1,1000
himachal pradesh,kangra,kangra(jaisinghpur),peas wet,peas wet,faq,2025-05-19,8500,9500,9000,2025,5,zaid,3,26,38,42,37,1,1000
himachal pradesh,kangra,kangra(jaisinghpur),sponge gourd,sponge gourd,faq,2025-05-19,2800,3200,3000,2025,5,zaid,3,26,38,52,47,1,400
himachal pradesh,kangra,kangra(nagrota bagwan),brinjal,arkasheela mattigulla,faq,2025-05-19,1000,2000,1400,2025,5,zaid,3,26,39,30,27,1,1000
himachal pradesh,kangra,kangra(nagrota bagwan),karbuja(musk melon),karbhuja,medium,2025-05-19,1800,2200,2000,2025,5,zaid,3,26,39,37,30,3,400
himachal pradesh,kangra,kangra(nagrota bagwan),lemon,lemon,faq,2025-05-19,9000,10000,9500,2025,5,zaid,3,26,39,25,20,1,1000
himachal pradesh,kangra,kangra(nagrota bagwan),tomato,deshi,faq,2025-05-19,1000,1200,1100,2025,5,zaid,3,26,39,9,35,1,200
himachal pradesh,kangra,kangra(nagrota bagwan),water melon,other,medium,2025-05-19,1000,1500,1200,2025,5,zaid,3,26,39,39,4,3,500
himachal pradesh,kangra,palampur,bhindi(ladies finger),other,faq,2025-05-19,3000,3200,3100,2025,5,zaid,3,26,40,11,4,1,200
himachal pradesh,kangra,palampur,brinjal,brinjal,faq,2025-05-19,2300,2500,2400,2025,5,zaid,3,26,40,30,48,1,200
himachal pradesh,kangra,palampur,karbuja(musk melon),karbhuja,medium,2025-05-19,2000,2200,2100,2025,5,zaid,3,26,40,37,30,3,200
himachal pradesh,kangra,palampur,lemon,other,faq,2025-05-19,8000,9000,8800,2025,5,zaid,3,26,40,25,4,1,1000
himachal pradesh,kangra,palampur,mashrooms,other,faq,2025-05-19,14500,16000,15500,2025,5,zaid,3,26,40,51,4,1,1500
himachal pradesh,kangra,palampur,papaya,other,medium,2025-05-19,4000,4500,4300,2025,5,zaid,3,26,40,46,4,3,500
himachal pradesh,kangra,palampur,potato,other,faq,2025-05-19,1200,1300,1250,2025,5,zaid,3,26,40,31,4,1,100
himachal pradesh,solan,solan(nalagarh),water melon,other,medium,2025-05-19,1000,1200,1100,2025,5,zaid,3,27,41,39,4,3,200
jammu and kashmir,kathua,kathua,bottle gourd,other,faq,2025-05-19,700,800,750,2025,5,zaid,4,28,42,7,4,1,100
jammu and kashmir,kathua,kathua,garlic,garlic,faq,2025-05-19,6000,7000,6500,2025,5,zaid,4,28,42,50,49,1,1000
jammu and kashmir,kathua,kathua,knool khol,other,faq,2025-05-19,1000,1200,1100,2025,5,zaid,4,28,42,53,4,1,200
jammu and kashmir,kathua,kathua,mashrooms,mashrooms,faq,2025-05-19,10000,11000,10500,2025,5,zaid,4,28,42,51,46,1,1000
jammu and kashmir,kathua,kathua,onion,other,faq,2025-05-19,1200,1300,1250,2025,5,zaid,4,28,42,12,4,1,100
jammu and kashmir,rajouri,rajouri (f&v),bhindi(ladies finger),other,faq,2025-05-19,3500,3700,3600,2025,5,zaid,4,29,43,11,4,1,200
jammu and kashmir,rajouri,rajouri (f&v),capsicum,other,faq,2025-05-19,3500,3700,3600,2025,5,zaid,4,29,43,44,4,1,200
jammu and kashmir,rajouri,rajouri (f&v),mango,safeda,medium,2025-05-19,6000,6200,6100,2025,5,zaid,4,29,43,14,50,3,200
kerala,alappuzha,chengannur,bitter gourd,other,faq,2025-05-19,7500,8200,8000,2025,5,zaid,5,30,44,54,4,1,700
kerala,alappuzha,chengannur,cabbage,other,faq,2025-05-19,2800,3100,3000,2025,5,zaid,5,30,44,55,4,1,300
kerala,alappuzha,chengannur,cucumbar(kheera),other,faq,2025-05-19,1900,2200,2000,2025,5,zaid,5,30,44,8,4,1,300
kerala,alappuzha,chengannur,onion,onion,faq,2025-05-19,1900,2200,2000,2025,5,zaid,5,30,44,12,9,1,300
kerala,alappuzha,chengannur,potato,potato,faq,2025-05-19,3300,3600,3500,2025,5,zaid,5,30,44,31,51,1,300
kerala,alappuzha,cherthala,amaranthus,other,faq,2025-05-19,5000,5200,5100,2025,5,zaid,5,30,45,56,4,1,200
kerala,alappuzha,cherthala,banana - green,banana - green,faq,2025-05-19,3200,3400,3300,2025,5,zaid,5,30,45,57,52,1,200
kerala,alappuzha,cherthala,beetroot,other,faq,2025-05-19,4000,4200,4100,2025,5,zaid,5,30,45,58,4,1,200
kerala,alappuzha,cherthala,cabbage,cabbage,faq,2025-05-19,3300,3500,3400,2025,5,zaid,5,30,45,55,53,1,200
kerala,alappuzha,cherthala,cowpea(veg),cowpea (veg),faq,2025-05-19,4500,4700,4600,2025,5,zaid,5,30,45,59,54,1,200
kerala,alappuzha,cherthala,little gourd (kundru),other,faq,2025-05-19,3200,3400,3300,2025,5,zaid,5,30,45,28,4,1,200
kerala,alappuzha,harippad,beetroot,other,faq,2025-05-19,4000,4500,4000,2025,5,zaid,5,30,46,58,4,1,500
kerala,alappuzha,harippad,green chilli,other,faq,2025-05-19,4000,4500,4000,2025,5,zaid,5,30,46,36,4,1,500
kerala,alappuzha,mannar,ashgourd,other,faq,2025-05-19,2000,2200,2100,2025,5,zaid,5,30,47,60,4,1,200
kerala,alappuzha,mannar,bitter gourd,other,faq,2025-05-19,7800,8000,7900,2025,5,zaid,5,30,47,54,4,1,200
kerala,alappuzha,mannar,colacasia,other,faq,2025-05-19,6000,6200,6100,2025,5,zaid,5,30,47,61,4,1,200
kerala,ernakulam,angamaly,ashgourd,ashgourd,faq,2025-05-19,2000,3000,2500,2025,5,zaid,5,31,48,60,55,1,1000
kerala,ernakulam,angamaly,bhindi(ladies finger),bhindi,faq,2025-05-19,2600,4000,3000,2025,5,zaid,5,31,48,11,8,1,1400
kerala,ernakulam,angamaly,bitter gourd,bitter gourd,faq,2025-05-19,6500,8000,7000,2025,5,zaid,5,31,48,54,56,1,1500
kerala,ernakulam,angamaly,bottle gourd,bottle gourd,faq,2025-05-19,2000,3000,2500,2025,5,zaid,5,31,48,7,26,1,1000
kerala,ernakulam,angamaly,brinjal,brinjal,faq,2025-05-19,3200,5000,4000,2025,5,zaid,5,31,48,30,48,1,1800
kerala,ernakulam,angamaly,colacasia,other,faq,2025-05-19,5000,7000,6000,2025,5,zaid,5,31,48,61,4,1,2000
kerala,ernakulam,angamaly,onion,big,faq,2025-05-19,2400,3200,3000,2025,5,zaid,5,31,48,12,57,1,800
kerala,ernakulam,angamaly,tapioca,tapioca,faq,2025-05-19,3000,4000,3500,2025,5,zaid,5,31,48,62,58,1,1000
kerala,ernakulam,ernakulam,ashgourd,ashgourd,faq,2025-05-19,1500,1800,1600,2025,5,zaid,5,31,49,60,55,1,300
kerala,ernakulam,ernakulam,banana,palayamthodan,medium,2025-05-19,2900,3200,3100,2025,5,zaid,5,31,49,40,59,3,300
kerala,ernakulam,north paravur,bitter gourd,bitter gourd,faq,2025-05-19,7000,8000,7500,2025,5,zaid,5,31,50,54,56,1,1000
kerala,ernakulam,north paravur,black pepper,garbled,faq,2025-05-19,70000,90000,80000,2025,5,zaid,5,31,50,63,60,1,20000
kerala,ernakulam,north paravur,bottle gourd,bottle gourd,faq,2025-05-19,1500,2500,2000,2025,5,zaid,5,31,50,7,26,1,1000
kerala,ernakulam,north paravur,brinjal,arkasheela mattigulla,faq,2025-05-19,2800,3500,3000,2025,5,zaid,5,31,50,30,27,1,700
kerala,ernakulam,north paravur,ginger(green),green ginger,faq,2025-05-19,5000,6000,5500,2025,5,zaid,5,31,50,27,24,1,1000
kerala,ernakulam,perumbavoor,banana - green,banana - green,faq,2025-05-19,4300,5300,4700,2025,5,zaid,5,31,51,57,52,1,1000
kerala,ernakulam,perumbavoor,bhindi(ladies finger),bhindi,faq,2025-05-19,2600,3600,3000,2025,5,zaid,5,31,51,11,8,1,1000
kerala,ernakulam,perumbavoor,brinjal,brinjal,faq,2025-05-19,2200,3200,2700,2025,5,zaid,5,31,51,30,48,1,1000
kerala,ernakulam,perumbavoor,colacasia,other,faq,2025-05-19,4800,5800,5200,2025,5,zaid,5,31,51,61,4,1,1000
kerala,ernakulam,perumbavoor,lemon,lemon,faq,2025-05-19,7500,8500,8000,2025,5,zaid,5,31,51,25,20,1,1000
kerala,ernakulam,perumbavoor,potato,potato,faq,2025-05-19,2400,3400,2700,2025,5,zaid,5,31,51,31,51,1,1000
kerala,ernakulam,perumbavoor,pumpkin,pumpkin,faq,2025-05-19,1000,2000,1500,2025,5,zaid,5,31,51,64,61,1,1000
kerala,ernakulam,perumbavoor,snakeguard,snakeguard,faq,2025-05-19,2200,3200,2700,2025,5,zaid,5,31,51,65,62,1,1000
kerala,ernakulam,thrippunithura,ashgourd,ashgourd,faq,2025-05-19,2400,4000,2600,2025,5,zaid,5,31,52,60,55,1,1600
kerala,ernakulam,thrippunithura,banana,palayamthodan,medium,2025-05-19,3000,4000,3200,2025,5,zaid,5,31,52,40,59,3,1000
kerala,ernakulam,thrippunithura,capsicum,capsicum,faq,2025-05-19,7000,10000,8000,2025,5,zaid,5,31,52,44,40,1,3000
kerala,ernakulam,thrippunithura,carrot,carrot,faq,2025-05-19,4800,6000,5000,2025,5,zaid,5,31,52,22,17,1,1200
kerala,ernakulam,thrippunithura,cowpea(veg),cowpea (veg),faq,2025-05-19,4000,5000,4200,2025,5,zaid,5,31,52,59,54,1,1000
kerala,ernakulam,thrippunithura,lemon,other,faq,2025-05-19,13000,14000,13200,2025,5,zaid,5,31,52,25,4,1,1000
kerala,kannur,thalasserry,banana,other,large,2025-05-19,5400,5600,5500,2025,5,zaid,5,32,53,40,4,4,200
kerala,kannur,thalasserry,bhindi(ladies finger),other,faq,2025-05-19,3400,3600,3500,2025,5,zaid,5,32,53,11,4,1,200
kerala,kannur,thalasserry,coconut oil,other,faq,2025-05-19,28500,29500,29000,2025,5,zaid,5,32,53,66,4,1,1000
kerala,kottayam,ettumanoor,bitter gourd,other,faq,2025-05-19,8000,8200,8100,2025,5,zaid,5,33,54,54,4,1,200
kerala,kottayam,ettumanoor,colacasia,other,faq,2025-05-19,6000,7000,6500,2025,5,zaid,5,33,54,61,4,1,1000
kerala,kottayam,pampady,banana,palayamthodan,medium,2025-05-19,1500,2500,2000,2025,5,zaid,5,33,55,40,59,3,1000
kerala,kottayam,pampady,indian beans (seam),other,faq,2025-05-19,7800,9000,8500,2025,5,zaid,5,33,55,67,4,1,1200
kerala,kottayam,pampady,mango (raw-ripe),other,faq,2025-05-19,3000,4500,4000,2025,5,zaid,5,33,55,41,4,1,1500
kerala,kottayam,pampady,tapioca,tapioca,faq,2025-05-19,3000,4500,4000,2025,5,zaid,5,33,55,62,58,1,1500
kerala,kottayam,thalayolaparambu,ashgourd,ashgourd,faq,2025-05-19,1600,2000,1700,2025,5,zaid,5,33,56,60,55,1,400
kerala,kozhikode(calicut),mukkom,amphophalus,amphophalus,faq,2025-05-19,6500,6800,6600,2025,5,zaid,5,34,57,68,63,1,300
